front,back
"Tell me about a time you built a design system or component library from scratch. What decisions did you make and why?","Structure: Start with the problem (inconsistent UI, slow development). Describe the token architecture you chose and why. Mention specific components you built first (primitives like Button, Input before complex ones). Discuss API design decisions (composition vs configuration). Cover accessibility approach. End with measurable impact: development speed, consistency, adoption rate."
"Describe a time you had to push back on a design that was technically difficult or impossible to implement well.","Structure: What was the design? Why was it problematic (performance, accessibility, maintenance)? How did you communicate the concern without being dismissive? What alternative did you propose? How did you collaborate with the designer to reach a solution that satisfied both design intent and technical constraints? Show that you respect design but advocate for users and maintainability."
"How do you approach accessibility in your work? Give a specific example.","Structure: Show it is part of your process, not an afterthought. Specific example: maybe you audited a component, found issues (missing labels, no keyboard nav, poor contrast), fixed them. Mention tools (axe, Lighthouse, screen readers). Discuss semantic HTML choices. Cover ARIA patterns you have implemented (live regions, focus management in modals). End with the impact: users who could now use the product."
"Tell me about a time you improved performance on a frontend application.","Structure: Identify the problem (Core Web Vitals, user complaints, slow load). Describe your investigation (Chrome DevTools, Lighthouse, profiling). What did you find (large bundle, render blocking, layout thrashing, unnecessary re-renders)? What did you do (code splitting, lazy loading, image optimisation, memoisation, virtualisation)? Quantify the result (LCP improved from X to Y, bundle size reduced by Z%)."
"Describe a project where you worked closely with designers. How did you collaborate?","Structure: Set the scene (what project, what team). Describe your workflow (Figma reviews, design critiques, shared component inventory). How did you give feedback on designs? How did you handle design changes mid-sprint? Show that you can speak both languages: design vocabulary (hierarchy, spacing, rhythm) and engineering vocabulary (performance, maintainability). End with what made the collaboration successful."
"Tell me about a time you had to make a trade-off between code quality and shipping speed.","Structure: What was the deadline pressure? What trade-off did you make (skip tests, use a simpler implementation, defer refactoring)? How did you document the tech debt? Did you come back and fix it? Show that you can be pragmatic without being reckless. Mention how you communicated the trade-off to stakeholders."
"How do you stay current with frontend and design engineering trends?","Structure: Be specific. Mention actual sources (blogs, newsletters, Twitter/X accounts, conferences). Show depth: not just following trends but evaluating them critically. Give an example of something you learned recently and applied. Mention any side projects where you experiment with new technology (Lunary, Spellcast, portfolio projects are great examples here)."
"Describe a time you mentored a junior developer. What was your approach?","Structure: Who were you mentoring and what was the context? How did you structure the mentoring (code reviews, pair programming, weekly 1:1s)? Give a specific example of something you taught them. How did you balance giving them space to learn vs stepping in when needed? What was the outcome: what did they learn, how did they grow?"
"Tell me about a complex animation or interaction you built. Walk me through your approach.","Structure: What was the interaction (parallax, drag-and-drop, page transitions, data visualisation)? What tools did you use (CSS, Framer Motion, GSAP, Three.js, D3)? How did you handle performance (requestAnimationFrame, GPU-accelerated properties, will-change)? How did you handle accessibility (reduced motion preferences, keyboard alternatives)? Show your creative-technical thinking."
"How do you handle disagreements about technical decisions within a team?","Structure: Give a real example. What was the disagreement (state management choice, styling approach, architecture pattern)? How did you present your case (data, prototypes, benchmarks vs opinions)? How did you listen to the other perspective? What was the outcome? Show that you can disagree constructively and commit to a decision once made."
"Tell me about a time you had to refactor a large codebase. How did you approach it?","Structure: What was wrong with the existing code (tight coupling, inconsistency, performance issues)? How did you plan the refactor (incremental vs big bang)? How did you ensure nothing broke (tests, feature flags, parallel running)? How did you get buy-in from the team? What was the result? Emphasise incremental approaches and measuring impact."
"Describe a time you had to quickly learn a new technology or framework for a project.","Structure: What was the technology and why was it needed? How did you learn it (docs, tutorials, building a prototype)? How long did it take to become productive? What challenges did you face? How did you balance learning with delivery? Show adaptability and a structured approach to learning."
"Tell me about a time you identified and fixed a critical bug in production.","Structure: How was the bug discovered (monitoring, user report, you noticed it)? What was the impact? How did you diagnose it (logs, reproduction steps, debugger)? What was the root cause? How did you fix it? What did you put in place to prevent similar bugs (tests, monitoring, process changes)?"
"How do you approach code reviews? What do you look for?","Structure: Discuss your philosophy (collaborative, not gatekeeping). What you look for: correctness, readability, performance, accessibility, edge cases, naming, consistency with codebase patterns. How you give feedback (specific, actionable, kind). How you handle disagreements in reviews. Mention that you also look for what is done well, not just problems."
"Tell me about a feature you shipped that you are particularly proud of.","Structure: What was the feature and why did it matter to users? What was technically interesting about it? What challenges did you overcome? How did you measure success? What would you do differently if you built it again? Show both technical depth and product thinking."
"Describe your experience with design-to-code workflows. How do you translate designs into code?","Structure: Describe your process with Figma/design tools. How do you extract tokens, spacing, and typography? How do you handle responsive behaviour that is not specified in designs? How do you communicate back to designers when something does not work as designed? Mention auto-layout, component variants, and how they map to code. Show that you think in systems, not just screens."
"How do you handle scope creep in a project?","Structure: Real example. How did scope creep happen (stakeholder requests, designer iterations, your own gold-plating)? How did you recognise it? How did you communicate the impact (timeline, quality, other work)? What did you do (negotiate, prioritise, cut scope, extend timeline)? Show that you can protect delivery without being inflexible."
"Tell me about a time you had to balance user experience with technical constraints.","Structure: What was the constraint (browser support, performance budget, API limitations, timeline)? What was the ideal UX? How did you find a middle ground? How did you communicate the constraint to designers/stakeholders? What was the result for users? Show that you advocate for users within realistic boundaries."
