front,back
"Explain closures in JavaScript. Give a practical example.","A closure is a function that retains access to variables from its outer (enclosing) scope even after the outer function has returned. Every function in JS creates a closure. Practical example: a counter factory. function createCounter() { let count = 0; return { increment: () => ++count, getCount: () => count }; } The returned object's methods close over the count variable. Used in: module pattern, event handlers, React hooks (useState captures state in a closure), debounce/throttle, private variables."
"What is the event loop? Explain microtasks vs macrotasks.","The event loop processes the call stack, then microtasks, then one macrotask, then microtasks again, and repeats. Microtasks (higher priority): Promise callbacks (.then/.catch/.finally), queueMicrotask, MutationObserver. Macrotasks (lower priority): setTimeout, setInterval, I/O, UI rendering, requestAnimationFrame. Example: setTimeout(() => console.log('A'), 0); Promise.resolve().then(() => console.log('B')); console.log('C'); Output: C, B, A. Microtasks always run before the next macrotask."
"Explain prototypal inheritance in JavaScript.","Every object has an internal [[Prototype]] link to another object. When you access a property, JS walks up the prototype chain until it finds it or reaches null. Object.create(proto) creates an object with proto as its prototype. Constructor functions set the prototype via Foo.prototype. ES6 classes are syntactic sugar over prototypal inheritance. Key methods: Object.getPrototypeOf(), Object.create(), hasOwnProperty(). The chain: instance > Constructor.prototype > Object.prototype > null."
"What are generators and iterators? When would you use them?","Iterators: objects with a next() method that returns { value, done }. Any object with Symbol.iterator is iterable (arrays, strings, maps, sets). Generators: functions declared with function* that yield values lazily. They pause execution at each yield and resume when next() is called. Use cases: lazy evaluation of large datasets, infinite sequences, custom iteration protocols, async flow control (co library pattern, replaced by async/await). Example: function* range(start, end) { for (let i = start; i < end; i++) yield i; }"
"Explain the difference between == and ===. What is type coercion?","=== is strict equality: no type conversion, both type and value must match. == is abstract equality: performs type coercion before comparison. Type coercion: JS automatically converts types. Examples: '5' == 5 is true (string coerced to number). null == undefined is true. '' == false is true. Always use === unless you specifically want coercion (rare). Common gotcha: NaN !== NaN (use Number.isNaN instead)."
"What is the this keyword? How does it work in different contexts?","this depends on HOW a function is called, not where it is defined. 1) Global context: window (browser) or globalThis. 2) Object method: the object (obj.method() > this is obj). 3) Constructor (new Foo()): the new instance. 4) Arrow functions: inherit this from enclosing lexical scope (never changes). 5) call/apply/bind: explicitly set this. 6) Event handlers: the element. Common mistake: losing this when passing methods as callbacks. Fix: arrow function or .bind()."
"Explain async/await, Promises, and how they relate.","Promises represent eventual completion/failure of an async operation. States: pending, fulfilled, rejected. .then() for success, .catch() for errors, .finally() for cleanup. async/await is syntactic sugar over Promises. async functions always return a Promise. await pauses execution until the Promise settles. Error handling: try/catch with await, or .catch() on the returned Promise. Key patterns: Promise.all (parallel, fail-fast), Promise.allSettled (parallel, all results), Promise.race (first to settle)."
"What is the difference between var, let, and const?","var: function-scoped, hoisted (declared but undefined until assignment), can be redeclared. let: block-scoped, hoisted but in temporal dead zone (ReferenceError if accessed before declaration), cannot be redeclared. const: block-scoped, same as let but cannot be reassigned (the binding is constant, not the value: const obj = {} allows obj.prop = 1). Best practice: const by default, let when you need to reassign, never var."
"Explain WeakMap and WeakSet. When would you use them?","WeakMap: keys must be objects, keys are held weakly (garbage collected if no other references exist). No iteration, no size property. WeakSet: same but for values. Use cases: storing private data associated with objects without preventing garbage collection (e.g., tracking DOM nodes without creating memory leaks), caching computed results for objects, implementing deep clone with circular reference detection (seen = new WeakMap())."
"What is the Proxy object? Give a practical use case.","Proxy wraps an object and intercepts operations (get, set, has, deleteProperty, etc.) via handler traps. Example: validation proxy that rejects invalid property assignments. const validated = new Proxy({}, { set(target, prop, value) { if (prop === 'age' && typeof value !== 'number') throw TypeError('age must be a number'); target[prop] = value; return true; } }); Use cases: reactive state (Vue 3 uses Proxy for reactivity), validation, logging/debugging, implementing observable patterns, default property values."
"Explain event delegation and why it matters.","Event delegation leverages event bubbling: instead of attaching handlers to every child element, attach one handler to a common parent. The parent checks event.target to determine which child was clicked. Benefits: fewer event listeners (better memory), automatically works for dynamically added children, simpler code. Example: instead of adding click handlers to 100 list items, add one to the ul and check if event.target matches a list item selector."
"What are Web Workers and when would you use them?","Web Workers run JavaScript in a background thread, separate from the main thread. They cannot access the DOM but can perform heavy computation without blocking the UI. Communication via postMessage/onmessage (structured clone, not shared memory by default). SharedWorker can be shared between tabs. Service Workers intercept network requests (caching, offline support, push notifications). Use cases: image processing, data parsing, encryption, complex calculations."
"Explain the module system: CommonJS vs ES Modules.","CommonJS (CJS): require/module.exports, synchronous, dynamic (can require conditionally), used in Node.js historically. ES Modules (ESM): import/export, asynchronous, static (imports at top level, analysable at build time), enables tree shaking. ESM is the standard: supported in browsers natively and in Node.js. Key differences: ESM exports are live bindings (changes reflect), CJS exports are value copies. ESM has top-level await. Use ESM for new projects."
"What is the Temporal Dead Zone?","The TDZ is the period between entering a scope and the variable's declaration being executed. let and const variables exist in the TDZ from the start of their block until the declaration line. Accessing them in the TDZ throws a ReferenceError. var does not have a TDZ because it is hoisted with an initial value of undefined. The TDZ prevents subtle bugs from using variables before they are meaningfully initialised."
"Explain structured clone vs JSON serialisation for deep copying.","JSON.parse(JSON.stringify(obj)): simple but loses undefined, functions, Dates (become strings), RegExp, Maps, Sets, circular references throw. structuredClone(obj): native browser API, handles Dates, RegExp, Maps, Sets, ArrayBuffers, circular references. Cannot clone functions, DOM nodes, or Error objects. For most deep cloning needs, structuredClone is the correct modern choice. For crossing thread boundaries (postMessage), structured clone is used automatically."
