front,back
"Design a component library architecture. How would you structure it?","Cover: monorepo vs multi-package, token system (primitive > semantic > component), component categories (primitives, composites, patterns), styling approach (CSS modules, Tailwind, CSS-in-JS with trade-offs), documentation (Storybook), testing strategy (unit, visual regression, a11y), publishing (npm, versioning, changelogs), and developer experience (TypeScript, auto-complete, good defaults)."
"Design an infinite scroll feed like Twitter/X.","Cover: virtualised list (only render visible items + buffer), Intersection Observer for triggering fetches, cursor-based pagination (not offset), optimistic updates for likes/retweets, skeleton loading states, scroll position restoration on back navigation, error boundaries per item, accessibility (keyboard navigation, screen reader announcements for new content), and performance (requestAnimationFrame, CSS contain)."
"Design a real-time collaborative whiteboard.","Cover: canvas rendering (HTML Canvas or SVG for simpler shapes), WebSocket for real-time sync, CRDT or OT for conflict resolution, cursor presence (broadcast positions with throttling), undo/redo per user, shape/drawing primitives, zoom and pan with transform matrix, offline support with sync on reconnect, and performance at scale (spatial indexing, only sync visible region)."
"Design a drag-and-drop kanban board like Trello.","Cover: pointer events over HTML5 DnD API (better mobile support, more control), optimistic reordering, state management (normalised data structure with column and card IDs), drop zone detection (hit testing), animations (CSS transforms for smooth movement), accessibility (keyboard reordering with arrow keys, ARIA live announcements), persistence (debounced save to API), and multi-user considerations."
"Design a rich text editor.","Cover: contentEditable challenges, existing frameworks (ProseMirror, TipTap, Slate, Lexical), document model (tree of nodes, not HTML), commands and transactions, collaborative editing (CRDT integration), toolbar state (active formatting detection), plugin architecture, paste handling (sanitise HTML), undo/redo stack, and performance with large documents."
"Design a notification system for a web application.","Cover: push notifications (Web Push API, service workers), in-app notifications (WebSocket for real-time, polling fallback), notification centre UI (unread count, mark as read, grouping), toast notifications for ephemeral alerts, notification preferences (per-channel, per-type), batching (do not spam users), offline queueing, and accessibility (ARIA live regions, not auto-dismissing important notifications)."
"Design a frontend monitoring and error tracking system.","Cover: error boundary components (React), global error handlers (window.onerror, unhandledrejection), performance monitoring (Web Vitals API, PerformanceObserver), user session replay (record DOM mutations), source maps for stack trace mapping, sampling strategy (do not send every event), batching and debouncing network requests, privacy considerations (PII scrubbing), and alerting thresholds."
"Design a multi-step form wizard with validation.","Cover: state machine for step progression (XState or custom), per-step validation (Zod schemas), form state persistence (localStorage for recovery), progress indicator, conditional steps (dynamic flow based on previous answers), back/forward navigation without data loss, accessibility (focus management on step change, error announcements), and submission handling (optimistic, retry on failure)."
"Design a theming system that supports light mode, dark mode, and custom brand themes.","Cover: CSS custom properties as the theming layer, semantic token mapping (color-surface, color-on-surface), theme definition format (JSON > CSS variables), runtime switching (data attribute on root element), system preference detection (prefers-color-scheme), persistence (localStorage + cookie for SSR), smooth transitions, and image/illustration handling across themes."
"Design a search experience with autocomplete, filters, and results.","Cover: debounced input (300ms), server-side search vs client-side filtering, autocomplete dropdown (keyboard navigation, ARIA combobox pattern), faceted filters (URL state for shareability), result highlighting, pagination vs infinite scroll, empty and error states, search analytics (track queries, clicks, no-results), and performance (abort previous requests with AbortController)."
"Design a micro-frontend architecture.","Cover: module federation (webpack), import maps, or iframe-based isolation. Shared dependencies (React, design system). Communication between micro-frontends (custom events, shared state). Routing (single SPA router or framework-specific). Deployment independence. Shared authentication. CSS isolation (Shadow DOM or naming conventions). Trade-offs: complexity vs team autonomy."
"Design an image upload and processing pipeline for a web app.","Cover: drag-and-drop upload area, file validation (type, size limits), client-side preview (FileReader, URL.createObjectURL), progress indication (XMLHttpRequest or fetch with ReadableStream), chunked uploads for large files, server-side processing (resize, compress, format conversion), CDN delivery with responsive images (srcset), accessibility (alt text input), and error handling."
"Design a state management solution for a large React application.","Cover: when you need global state vs component state vs URL state vs server state. Compare approaches: React Context + useReducer (simple, built-in), Zustand (minimal, performant), Jotai (atomic), Redux Toolkit (complex, time-travel debugging). Server state: React Query/TanStack Query (caching, deduplication, background refetching). URL state: nuqs or searchParams. Principle: collocate state as close to where it is used as possible."
"Design a performance optimisation strategy for a Next.js application.","Cover: static generation where possible (SSG > SSR > CSR). Image optimisation (next/image, responsive sizes, WebP/AVIF). Font optimisation (next/font, subset, swap). Bundle analysis (next/bundle-analyzer). Code splitting (dynamic imports, route-based splitting). React Server Components to reduce client JS. Edge middleware for personalisation. Caching headers (stale-while-revalidate). Core Web Vitals monitoring. Third-party script loading strategy (afterInteractive)."
