front,back
"Tell me about a time you built a design system or component library from scratch.","SITUATION: Joined Garden Computing as their first design engineer. No shared components, no design tokens, inconsistent UI across the product. TASK: Build a component library and design system from zero, establishing shared primitives the whole team could use. ACTION: Started with an audit of existing UI patterns; defined design tokens (colour, spacing, typography, radii); built primitive components first (Button, Input, Card) then composites; started a custom Shadcn-style primitive system for internal and external use; documented everything in Storybook. RESULT: Unified the product UI, reduced time-to-build for new features significantly, and created a system that scaled as the team grew. The primitives became the foundation for all new product work."
"Tell me about a time you led a feature from concept to launch.","SITUATION: At bots, the product needed a search and analytics layer to help customers find and understand their data. Nothing existed yet. TASK: Design and build the search and analytics features end-to-end, collaborating directly with the founders. ACTION: Led the full lifecycle: scoped requirements with founders, designed the UX and information architecture, built data-driven dashboards and interactive reporting tools using Highcharts, implemented the search layer with filtering and faceted results, iterated based on early user feedback. RESULT: The features shipped on time and became core to the product. Leadership and customers used the dashboards daily. The work directly enabled expansion into the Asia market through demo-ready builds."
"Tell me about a time you improved accessibility in a product.","SITUATION: At ASOS, the web platform served millions of users but had accessibility gaps across key user journeys. TASK: Drive accessibility improvements across the component library and user-facing pages. ACTION: Audited existing components and user journeys for WCAG compliance; identified issues with keyboard navigation, missing labels, and contrast ratios; fixed semantic HTML across key flows; built a reusable typography system within the component library to enforce consistent, accessible text hierarchy; automated seasonal theming which had previously introduced accessibility regressions. RESULT: Reduced seasonal theming prep time by 80% while eliminating the accessibility regressions that used to come with manual theme changes. Strengthened documentation and onboarding so the accessibility standards carried forward."
"Tell me about a time you delivered under serious time pressure.","SITUATION: At bots, we had a critical opportunity to expand into the Asia market. We needed demo-ready builds to present to potential partners and the timeline was extremely tight. TASK: Deliver fast, stable, polished builds that could be used in live demos with prospective customers. ACTION: Prioritised ruthlessly: identified the must-have features vs nice-to-haves for the demo; built the core flows first with real data; cut scope on non-critical polish; ran through the full demo flow repeatedly to catch edge cases; worked closely with founders to ensure the narrative matched the product. RESULT: Delivered on time. The demos were stable and polished enough to close the deal. bots successfully expanded into the Asia market as a direct result of those builds."
"Tell me about working with a large or legacy codebase.","SITUATION: At ASOS, the shared component library was used across multiple teams and products. It had grown organically over time with inconsistent patterns and documentation gaps. TASK: Contribute improvements to the shared library while managing production releases and not breaking existing consumers. ACTION: Contributed layout and testing improvements to the component library; built the reusable typography system; managed production releases carefully with versioning and regression testing; strengthened documentation and onboarding materials for engineering teams joining the project. RESULT: The library became more reliable and easier to adopt. New team members onboarded faster thanks to improved docs. Production releases became smoother with better testing coverage."
"Tell me about the most complex technical project you have built.","SITUATION: I wanted to fully automate my content pipeline across 6 connected services: social scheduling, analytics, SEO, engagement tracking, and content generation. TASK: Build an autonomous 11-agent pipeline that could research, generate, edit, schedule, and optimise content without human input. ACTION: Built Orbit: a Bash orchestrator running agents sequentially and in parallel, each scoped to its own MCP config. Implemented checkpoint/resume for fault tolerance, per-agent cost tracking, cross-system feedback loops, and self-improving A/B test infrastructure. Agents use a mix of local Ollama models (fast, free) and Claude API (high quality). RESULT: The pipeline runs daily without intervention. It handles research, content generation, scheduling, engagement, and SEO optimisation autonomously. Cost tracking keeps spending predictable. The A/B infrastructure means content quality improves over time."
"Tell me about a product you built that has real users and revenue.","SITUATION: I wanted to build a real product from scratch as a solo founder, not just a portfolio piece. TASK: Build and launch a live astrology PWA with real paying subscribers, handling everything from engineering to product to billing. ACTION: Built Lunary with Next.js, TypeScript, and Prisma on PostgreSQL. Calculates lunar and planetary positions in real time using astronomy-engine (VSOP87). Implemented subscription tiers via Stripe, push notifications, personalised daily insights, and automated content generation pipelines. Designed the full UX and shipped iteratively based on user feedback. RESULT: Live product with paying subscribers. Real MRR through Stripe. Handles real-time astronomical calculations, personalisation, and automated content. Built and operated solo, proving I can own a product end-to-end."
"Tell me about a time you bridged design and engineering on a project.","SITUATION: At Garden Computing, I was the design engineer in a fast-moving startup where design and engineering were tightly coupled. TASK: Operate across both disciplines: build the component library AND handle all marketing design work under rapid timelines. ACTION: Designed all marketing collateral end-to-end: stickers, t-shirts, event assets with topographic and hand-drawn visual direction. Created event imagery for Luma campaigns, handling art direction through to final production assets. Simultaneously built the component library and design system on the engineering side. Moved fluidly between Figma and code. RESULT: Delivered cohesive brand identity across both digital product and physical materials. The team had a single person who could own the full arc from visual concept to production code, which eliminated handoff friction entirely."
"Tell me about a time you had to learn a new technology quickly.","SITUATION: When building Lunary, I needed real-time astronomical calculations in the browser, something I had zero experience with. TASK: Learn celestial mechanics and the astronomy-engine library (VSOP87 algorithms) well enough to build accurate, real-time planetary position calculations. ACTION: Read the astronomy-engine documentation and source code. Built small prototypes to understand the coordinate systems and calculation methods. Tested calculations against known ephemeris data to verify accuracy. Integrated the library into the Next.js app with server-side pre-calculation and client-side updates. RESULT: Accurate real-time lunar and planetary positions running in production. The implementation is reliable enough for paying subscribers to depend on daily. Went from zero knowledge of celestial mechanics to shipping production code in under two weeks."
"Tell me about a time something went wrong or you made a mistake.","SITUATION: At Rare:Group, I led the full company rebrand from visual direction to front-end implementation. Early on, I pushed ahead with the implementation before the design direction was fully locked in. TASK: Deliver the rebrand across all products while the visual direction was still evolving. ACTION: Had to rework significant portions of the front-end implementation when the design direction shifted after I had already built against earlier mockups. Learned to push back earlier and get explicit sign-off on design decisions before committing engineering time. Started implementing an Atomic Design System to make future changes less painful: small, composable pieces that could be restyled without rebuilding entire pages. RESULT: The rebrand shipped successfully, but the rework cost time. The Atomic Design System I built as a response became the foundation that unified UI and UX across all products. Taught me to treat design sign-off as a blocker, not a nice-to-have, and to build systems that absorb change rather than fight it."
