front,back
"Explain the difference between CSS Grid and Flexbox. When would you use each?","Grid is for two-dimensional layouts (rows AND columns simultaneously). Flexbox is for one-dimensional layouts (a single row OR column). Use Grid for page layouts, dashboard grids, and complex component arrangements. Use Flexbox for navigation bars, card rows, centering content, and distributing space in one direction. They work well together: Grid for the outer layout, Flexbox for inner component alignment."
"What are design tokens and why do they matter?","Design tokens are the smallest units of a design system: colours, spacing, typography, shadows, border radii stored as platform-agnostic variables. They matter because they create a single source of truth across design and engineering, enable theming (dark mode, brand variants), ensure consistency, and make large-scale changes trivial. Typically structured as primitive tokens (blue-500) mapped to semantic tokens (color-primary) mapped to component tokens (button-bg)."
"How would you implement a compound component pattern in React?","Compound components share implicit state via React Context. The parent component provides context, children consume it. Example: Tabs.Root manages active tab state, Tabs.List renders the tab bar, Tabs.Trigger updates the active tab, Tabs.Content shows the active panel. Benefits: flexible composition, clean API, separation of concerns. Use React.createContext, a provider in the root, and useContext in child components."
"Explain the CSS cascade, specificity, and inheritance.","Cascade: the algorithm that resolves conflicts when multiple rules target the same element. Order of priority: importance (!important), origin (author vs user vs browser), specificity, source order. Specificity: inline styles (1000) > IDs (100) > classes/attributes/pseudo-classes (10) > elements/pseudo-elements (1). Inheritance: some properties (color, font-family) inherit from parents, others (margin, padding, border) do not. Use inherit, initial, unset, revert to control inheritance."
"What is the virtual DOM and how does React's reconciliation work?","The virtual DOM is a lightweight JavaScript representation of the actual DOM. When state changes, React creates a new virtual DOM tree, diffs it against the previous one (reconciliation), and applies only the minimal set of real DOM changes (commit phase). Key heuristics: elements of different types produce different trees, developer-provided keys help identify which children have changed. React 18 introduced concurrent rendering which can interrupt reconciliation."
"How do you ensure accessibility in a component library?","Start with semantic HTML (button, nav, main, article). Add ARIA attributes only when HTML semantics are insufficient. Implement keyboard navigation (Tab, Enter, Space, Escape, Arrow keys). Manage focus: trap focus in modals, return focus on close. Use aria-live regions for dynamic content. Ensure 4.5:1 colour contrast (WCAG AA). Test with screen readers (VoiceOver, NVDA). Add visible focus indicators. Follow WAI-ARIA Authoring Practices for complex widgets like comboboxes, tabs, and dialogs."
"Explain React Server Components vs Client Components.","Server Components render on the server, never ship JavaScript to the client, can directly access databases and file systems, and cannot use state, effects, or browser APIs. Client Components render on the client (with optional SSR), can use useState, useEffect, event handlers, and browser APIs. Use Server Components by default for data fetching and static content. Add 'use client' only when you need interactivity. Server Components can import Client Components but not vice versa."
"What is CSS containment and how does it improve performance?","CSS contain property tells the browser that an element's internals are independent from the rest of the page. contain: layout means the element's internal layout does not affect external elements. contain: paint means nothing inside paints outside the element's bounds. contain: size means the element's size is independent of its children. contain: content is a shorthand for layout + paint. This lets the browser skip recalculating parts of the page it knows have not changed, improving rendering performance."
"How would you implement a responsive design system that works across breakpoints?","Use fluid typography with clamp() for font sizes that scale smoothly. Define breakpoints as design tokens. Use CSS Grid with auto-fit/auto-fill and minmax() for layouts that adapt without media queries where possible. Use container queries for component-level responsiveness instead of viewport-based media queries. Define spacing as relative units (rem) that scale with root font size. Test on real devices, not just browser resize."
"Explain the difference between controlled and uncontrolled components in React.","Controlled: React state is the source of truth. The component receives its current value via props and notifies changes via callbacks (value + onChange). Parent controls the state. Uncontrolled: the DOM is the source of truth. Use refs to read values when needed (defaultValue + ref). Use controlled when you need validation, conditional disabling, or formatting on input. Use uncontrolled for simple forms or when integrating with non-React code. Controlled gives more power but requires more boilerplate."
